depth,zenit,azimut
0,0.2,0
10,0.1,0
20,0.1,0
30,0.3,0
40,0.4,0
50,0.3,0
60,0.2,0
70,0.3,0
80,0.4,0
90,0.4,0
100,0.4,0
110,0.5,0
120,0.3,0
130,0.4,0
140,0.25,0
150,0.2,0
160,0.2,0
170,0.25,0
180,0.7,0
190,0.75,0
200,0.8,0
210,0.85,0
220,0.9,0
230,0.85,0
240,0.85,0
250,0.85,0
260,0.7,0
270,0.75,0
280,0.8,0
290,0.8,0
300,0.8,0
310,0.6,0
320,0.6,0
330,0.6,0
340,0.6,0
350,0.6,0
360,0.6,0
370,0.4,0
380,0.45,0
390,0.4,0
400,0.4,0
410,0.4,0
420,0.4,0
430,0.3,0
440,0.3,0
450,0.4,0
460,0.4,0
470,0.4,0
480,0.5,0
490,0.6,0
500,0.55,0
510,0.5,0
520,0.5,0
530,0.5,0
540,0.75,0
550,0.9,0
560,1.2,0
570,1.1,0
580,1.1,0
590,1.2,0
600,1.3,0
610,1.2,0
620,1.2,0
630,1.25,0
640,1.25,0
650,1.25,0
660,1.3,0
670,1.4,0
680,1.4,0
690,1.4,0
700,1.1,0
710,1.4,0
720,1.4,0
730,1,0
740,1.1,0
750,1.15,0
760,1,0
770,1,0
780,1,0
790,1,0
800,0.6,0
810,0.6,0
820,0.65,0
830,0.7,0
840,0.7,0
850,1.1,0
860,1.5,0
870,1.8,0
880,2.2,0
890,3,0
900,3.8,0
910,3.4,0
920,3,0
930,2.9,0
940,2.6,0
950,2,0
960,1.8,0
970,1.6,0
980,1.2,0
990,1.2,0
1000,1.3,0
1010,1,0
1020,1,0
1030,0.7,0
1040,0.5,0
1050,0.5,0
1060,0.5,0
1070,0.5,0
1080,0.4,0
1090,0.4,0
1100,0.4,0
1110,0.5,0
1120,0.5,0
1130,0.6,0
1140,0.6,0
1150,0.7,0
1160,0.65,0
1170,0.65,0
1180,1,0
1190,1,0
1200,1,0
1210,1,0
1220,1,0
1230,1,0
1240,1.6,0
1250,1.5,0
1260,1.6,0
1270,1.3,0
1280,1.2,0
1290,1.15,0
1300,1.1,0
1310,1,0
1320,1,0
1330,1,0
1340,0.9,0
1350,0.8,0
1360,0.8,0
1370,0.6,0
1380,0.6,0
1390,0.6,0
1400,0.6,0
1410,0.6,0
1420,0.8,0
1430,0.85,0
1440,0.9,0
1450,1,0
1460,1.2,0
1470,1,0
1480,1,0
1490,1,0
1500,1.2,0
1510,1.1,0
1520,1.1,0
1530,1.3,0
1540,1.2,0
1550,1.1,0
1560,0.8,0
1570,1.1,0
1580,1.1,0
1590,1.1,0
1600,0.9,0
1610,1,0
1620,1.2,0
1630,1.1,0
1640,1.4,0
1650,1.7,0
1660,1.7,0
1670,1.8,0
1680,1.2,0
1690,1.7,0
1700,1.6,0
1710,1.6,0
1720,1.2,0
1730,1.3,0
1740,1.1,0
1750,1.1,69
1760,1.1,69
1770,1.2,81
1780,1.75,69
1790,1.95,69
1800,1.95,69
1810,1.65,69
1820,1.4,55
1830,1.4,55
1840,1.3,79
1850,1.85,79
1860,1.35,94
1870,1.5,74
1880,1.5,74
1890,1.5,74
1900,1.5,74
1910,1.9,70
1920,1.9,98
1930,1.6,98
1940,1.6,79
1950,1.45,79
1960,1.31,79
1970,1.75,56
1980,1.36,74
1990,1.1,74
2000,1.35,97
2010,1.5,55
2020,1.3,55
2030,1.2,72
2040,1.2,72
2050,1.16,56
2060,1.08,56
2070,1,73
2080,1.08,73
2090,1.15,56
2100,1.3,56
2110,1.2,56
2120,0.9,73
2130,1,73
2140,1.1,48
2150,1.1,70
2160,0.8,70
2170,0.88,43
2180,1.15,62
2190,0.76,81
2200,0.76,81
2210,0.76,50
2220,1,50
2230,0.75,84
2240,0.73,84
2250,0.73,55
2260,0.95,55
2270,1.2,82
2280,0.86,82
2290,0.3,39
2300,0.95,84
2310,0.63,40
2320,0.4,85
2330,1.03,66
2340,0.55,31
2350,0.08,67
2360,0.9,67
2370,0.65,67
2380,1.1,67
2390,1.1,67
2400,1.4,300
2410,0.9,300
2420,1.3,300
2430,1,300
2440,1,300
2450,0.9,300
2460,0.45,300
2470,0.75,300
2480,1,300
2490,1.1,300
2500,1.1,300
2510,1,300
2520,1.25,300
2530,1,300
2540,0.8,300
2550,1.05,300
2560,1.05,300
2570,0.8,300
2580,1,300
2590,1.1,340
2600,1,340
2610,1.45,340
2620,1.4,340
2630,1.5,340
2640,1.35,340
2650,1.2,340
2660,1.1,340
2670,1.2,340
2680,1.45,340
2690,1.5,340
2700,1.35,340
2710,1.45,340
2720,1,340
2730,1.45,340
2740,1.5,340
2750,1.6,340
2760,1.5,340
2770,1.5,340
2780,1.55,340
2790,0.13,50.79
2800,0.1,80.8
2810,0.24,22.467
2820,0.27,52.36
2830,0.656,46.4
2840,0.63,49.21
2850,0.41,54.02
2860,0.478,52.12
2870,0.44,52.28
2880,0.42,53.61
2890,0.46,50.83
2900,0.41,51.96
2910,0.45,31.98
2920,0.34,48.95
2930,0.4,52.48
2940,0.61,50.05
2950,0.63,48.25
2960,0.33,57.38
2970,0.86,38.54
2980,0.59,49.49
2990,0.13,32.76
3000,0.16,7.74
3010,0.81,39.24
3020,0.389,53.28
3030,0.81,39.41
3040,0.43,47.47
3050,0.18,20.44
3060,0.3,52.68
3070,0.17,51.56
3080,0.26,25.41
3090,0.62,45.43
3100,0.16,69.86
3110,0.17,37.83
3120,0.43,32.32
3130,0.21,37.83
3140,0.2,77.24
3150,0.41,44.11
3160,0.3,46.256
3170,0.41,62.74
3180,0.22,87.47
3190,0.34,81.05
3200,0.22,52.26
3210,0.26,81.12
3220,0.66,77.8
3250,0.13,50.47
3260,0.11,58.4
3270,0.05,93.21
3280,0.27,86.22
3290,0.23,180.72
3300,0.68,80.11
3310,0.61,84.56
3320,0.17,167.44
3330,0.78,84.13
3340,0.7,354.8
3350,0.34,79.04
3360,0.3,66.2
3370,0.55,29.15
3380,0.64,157.79
3390,0.95,223.35
3400,0.64,182.11